,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Malibu,"Vegas Jones",239401,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
2,"Cupido (feat. Quavo)","Sfera Ebbasta",177385,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
3,Rockstar,"Sfera Ebbasta",171444,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
4,"God's Plan",Drake,163682,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
5,X,"Nicky Jam",161484,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",159209,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
7,"Cara Italia",Ghali,141057,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
8,"Ricchi x Sempre","Sfera Ebbasta",130084,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
9,"Pem Pem","Elettra Lamborghini",126889,https://open.spotify.com/track/6NprDUe0yiLIVGgcnFGgtq
10,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,112663,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
11,"Serpenti A Sonagli","Sfera Ebbasta",111031,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu
12,IDGAF,"Dua Lipa",109905,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
13,Boss,DrefGold,102032,https://open.spotify.com/track/66eqL56FRz3LJMCWINapai
14,"Serio (feat. Capo Plaza)","Emis Killa",99132,https://open.spotify.com/track/2Cm9pUNjLYpLo2gjIiTBPa
15,"Sinnò Me Moro","Noyz Narcos",94451,https://open.spotify.com/track/4CuHKCorywioxg5nc41ncg
16,Ipernova,Mr.Rain,92632,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw
17,FRIENDS,Marshmello,92087,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
18,Dura,"Daddy Yankee",90873,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
19,"La musica non c'è",Coez,90292,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
20,"Il ballo delle incertezze",Ultimo,86101,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
21,"Napapijri (Feat. ???)","Samuel Heron",84092,https://open.spotify.com/track/2F9IRegRhaAFfSuYF03N90
22,"Échame La Culpa","Luis Fonsi",82980,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
23,SAD!,XXXTENTACION,81106,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Psycho (feat. Ty Dolla $ign)","Post Malone",78044,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
25,"Una Vita In Vacanza","Lo Stato Sociale",77783,https://open.spotify.com/track/554Cnj9FKhRGABIxSaGJGG
26,"Brillo (feat. Madman & Gemitaiz)","Vegas Jones",77583,https://open.spotify.com/track/18MvE9vPGeXNbHcml7rgiw
27,"Irraggiungibile (feat. Federica Carta)",Shade,76902,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
28,Vertigini,Tedua,75561,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
29,Uber,"Sfera Ebbasta",75425,https://open.spotify.com/track/4oZhBLWGhtIyBckervj3sb
30,"Guarda come flexo",MamboLosco,70623,https://open.spotify.com/track/7pNSr2gQMVghpTcZvQUroa
31,"Morirò da Re",Måneskin,70500,https://open.spotify.com/track/47LqR8uKRA8WcZcSXkdAbz
32,"Tran Tran","Sfera Ebbasta",69530,https://open.spotify.com/track/3cGuiySfwJPXqvE15OiEEg
33,"Centro (feat. Coez)",MadMan,69379,https://open.spotify.com/track/540qZ2h2nFsuky4w42Quw8
34,"Questa nostra stupida canzone d'amore",Thegiornalisti,69146,https://open.spotify.com/track/2LYt5nf0m90Bz8fuudLQd1
35,"Sangue misto",Tedua,68212,https://open.spotify.com/track/47quNj56sFEMCBXN1xm5RO
36,"Giovane Fuoriclasse","Capo Plaza",67123,https://open.spotify.com/track/7GFCOl2gVEv9d6gwdY5Fvb
37,"Havana (feat. Young Thug)","Camila Cabello",67107,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
38,"Non mi avete fatto niente","Ermal Meta",65794,https://open.spotify.com/track/6d3sJyECf0XccpnosXyxT7
39,Habibi,Ghali,64366,https://open.spotify.com/track/1lwpe8mLgHhytakM7m6R3W
40,"Bum Bum Tam Tam","MC Fioti",64032,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
41,"Mamacita (feat. Guè)","Vegas Jones",61167,https://open.spotify.com/track/24RdYSTAWGKn04gdhaLdO9
42,"Leave a Light On","Tom Walker",61058,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
43,"Me Rehúso","Danny Ocean",59843,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
44,"Il mondo prima di te",Annalisa,59544,https://open.spotify.com/track/0qM6TGkkinhKFllbcRfL8u
45,"La legge del più forte",Tedua,59006,https://open.spotify.com/track/1fHP9qfz4v4df0XiAppzmf
46,"Lario (feat. Fabri Fibra) - RMX",Lazza,56443,https://open.spotify.com/track/2fCrGBbflxxcSXO6HUhJcS
47,"All The Stars (with SZA)","Kendrick Lamar",56427,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
48,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)","Achille Lauro",55624,https://open.spotify.com/track/1YTw1eDNxBn0sO78sDPkvr
49,"Whatever It Takes","Imagine Dragons",54333,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
50,Mine,Bazzi,54117,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
51,Nevermind,"Dennis Lloyd",54032,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
52,Bancomat,"Sfera Ebbasta",49429,https://open.spotify.com/track/0AQgJrBY3l12K49HTvnT99
53,rockstar,"Post Malone",48884,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
54,PERDONAMI,Salmo,48850,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
