,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Baby (with J Balvin)","Sfera Ebbasta",392899,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X
2,"Tik Tok (feat. Marracash & Guè Pequeno)","Sfera Ebbasta",333002,https://open.spotify.com/track/11jGgkrtDbYaKlN0y1nPbC
3,"Bottiglie Privè","Sfera Ebbasta",331038,https://open.spotify.com/track/4hExiZDbGdegofpEc9t0Fu
4,"Hollywood (feat. Diplo)","Sfera Ebbasta",263931,https://open.spotify.com/track/4CvW0iHAs7yJhbpnJ3NSnS
5,"Abracadabra (feat. Future)","Sfera Ebbasta",243547,https://open.spotify.com/track/0lSVjlxmAMSJGFSjVB1FtU
6,"$€ Freestyle","Sfera Ebbasta",222155,https://open.spotify.com/track/2j9wr1cxfYcMJoANfmoJA9
7,Male,"Sfera Ebbasta",211881,https://open.spotify.com/track/5BxBGvLJdwBBjCYJRdezxM
8,"Macarena (feat. Offset)","Sfera Ebbasta",211556,https://open.spotify.com/track/1uPPyvMOaaVLnVcwD1Sp0d
9,"Giovani Re","Sfera Ebbasta",200030,https://open.spotify.com/track/4TBp0V4Slb8emBDN8PWU3j
10,Destri,Gazzelle,198824,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
11,Superclassico,Ernia,198019,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
12,"SLATT (feat. Capo Plaza)",Rondodasosa,194292,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
13,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",176199,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
14,Concedimi,"Matteo Romano",176192,https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
15,Gelosi,"Sfera Ebbasta",167784,https://open.spotify.com/track/1XemHzgHvdNVkOEnUZzNRN
16,Problemas,"Paris Boy",166666,https://open.spotify.com/track/2aQJOc2QUTdQl1J2Z9VxYO
17,"Gangang (feat. Lil Mosey)","Sfera Ebbasta",161963,https://open.spotify.com/track/51ITVcACLrgOz44zlFVhk7
18,"6 AM","Sfera Ebbasta",157390,https://open.spotify.com/track/0bvHx0bCYwH6gj0f5WZV0R
19,"Salam Alaikum (feat. 7ari & Steve Aoki)","Sfera Ebbasta",156796,https://open.spotify.com/track/5Ws6qds3QAQ5s4tN5P2zRA
20,"Mood (feat. iann dior)",24kGoldn,148881,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
21,"BELLA STORIA",Fedez,136776,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
22,"Chico (feat. Rose Villain & Luchè)",Guè,133757,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
23,"Head & Heart (feat. MNEK)","Joel Corry",129747,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,"Cuore Nero - prod. Frenetik&Orang3",Blind,123742,https://open.spotify.com/track/0ROJX4yr64AlknCaX71JDQ
25,DÁKITI,"Bad Bunny",123354,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
26,Hypnotized,"Purple Disco Machine",117261,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
27,"Mama (feat. Nitro)",Gemitaiz,116329,https://open.spotify.com/track/1ws9IBGum9LLNEdSVNO2pH
28,VENT'ANNI,Måneskin,111370,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
29,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,109229,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
30,"Scooby Doo","Pinguini Tattici Nucleari",108929,https://open.spotify.com/track/0zgIj1n6G4tdQHYBvBVd8s
31,Crepe,Irama,104787,https://open.spotify.com/track/6L671UzJPyAzbHEhaNhDUJ
32,"A Un Passo Dalla Luna","Rocco Hunt",99839,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
33,"All I Want for Christmas Is You","Mariah Carey",96680,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
34,Barcellona,Ghali,95960,https://open.spotify.com/track/51zuoAf9f1DNTVmBJHVErg
35,Dynamite,BTS,93662,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
36,"Te lo prometto","Il Tre",92284,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
37,"What You Know Bout Love","Pop Smoke",91200,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
38,"Mondo Di Fango",Gemitaiz,89993,https://open.spotify.com/track/3rR90ytwXhFCGXjbDzN7HI
39,"Therefore I Am","Billie Eilish",89197,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
40,"TATUAGGI (feat. ARIETE)",PSICOLOGI,88959,https://open.spotify.com/track/15WIkk29b7NqOK2poTRnOU
41,"22 settembre",Ultimo,83538,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs
42,Scusa,Gazzelle,82522,https://open.spotify.com/track/6Nrk9XnXq7Gfjy4vGmkrMq
43,"Il bacio di Klimt","Emanuele Aloia",82142,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
44,"Spigoli (feat. Mara Sattei & tha Supreme)","Carl Brave",80766,https://open.spotify.com/track/0VSw01E3JInAaFDeYt9v8F
45,"Breaking Me",Topic,79651,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
46,"X 1 MEX (feat. Dani Faiv)","BLOODY VINYL",78013,https://open.spotify.com/track/5gouWBHeO3hLhCUr9gSvV5
47,"Pasticche (feat. Capo Plaza)",VillaBanks,76327,https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8
48,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",75803,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
49,Mediterranea,Irama,72188,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
50,Whoopty,CJ,72060,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
51,"Last Christmas",Wham!,70943,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
52,Ricordami,"Tommaso Paradiso",67276,https://open.spotify.com/track/6Vw7SyOg1BcWvGpyPzWgEa
